city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Tangshan,China,Asia,118,39.75,11,Cwa,"Temperate, dry winter, hot summer",1879000,Very Large (>1M),25.756763
Chengde,China,Asia,118,41.25,21,Dwa,"Cold, dry winter, hot summer",449325,Medium (50k-500k),22.912497
Linxi,China,Asia,118,43.5443038,7,BSk,"Arid, steppe, cold",679,Small (<50k),19.063387
Krasnokamensk,Russia,Europe,118,50.25,7,BSk,"Arid, steppe, cold",54316,Medium (50k-500k),20.275082
Suntar,Russia,Europe,118,62.25,25,Dfa,"Cold, no dry season, hot summer",8639,Small (<50k),19.22086
Albany,Australia,Oceania,118.125,-34.88252099,7,BSk,"Arid, steppe, cold",26445,Small (<50k),15.719372
Merredin,Australia,Oceania,118.125,-31.51724377,4,BWh,"Arid, desert, hot",2668,Small (<50k),15.654858
Merredin,Australia,Oceania,118.125,-31.3245577,4,BWh,"Arid, desert, hot",2668,Small (<50k),15.834343
Merredin,Australia,Oceania,118.125,-31.25,4,BWh,"Arid, desert, hot",2668,Small (<50k),15.834343
Meekatharra,Australia,Oceania,118.125,-26.64925366,4,BWh,"Arid, desert, hot",654,Small (<50k),24.096128
Meekatharra,Australia,Oceania,118.125,-26.51076933,4,BWh,"Arid, desert, hot",654,Small (<50k),24.096128
Tom Price,Australia,Oceania,118.125,-22.90900923,4,BWh,"Arid, desert, hot",2723,Small (<50k),13.705472
Tom Price,Australia,Oceania,118.125,-22.5,6,BSh,"Arid, steppe, hot",2723,Small (<50k),13.705472
Lahad Datu,Malaysia,Asia,118.125,4.663149706,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Lahad Datu,Malaysia,Asia,118.125,4.663149834,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),28.692167
Lahad Datu,Malaysia,Asia,118.125,4.902686532,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Lahad Datu,Malaysia,Asia,118.125,5,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Lahad Datu,Malaysia,Asia,118.125,5.04670442,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Lahad Datu,Malaysia,Asia,118.125,5.04670442,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Lahad Datu,Malaysia,Asia,118.125,5.142839748,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),29.606823
Xiamen,China,Asia,118.125,24.5134209,14,Cfa,"Temperate, no dry season, hot summer",2519000,Very Large (>1M),28.727417
Xiamen,China,Asia,118.125,24.77913156,14,Cfa,"Temperate, no dry season, hot summer",2519000,Very Large (>1M),15.059567
Nanping,China,Asia,118.125,26.25,14,Cfa,"Temperate, no dry season, hot summer",213054,Medium (50k-500k),13.944173
Nanping,China,Asia,118.125,26.35500245,14,Cfa,"Temperate, no dry season, hot summer",213054,Medium (50k-500k),13.944173
Nanping,China,Asia,118.125,26.35500245,14,Cfa,"Temperate, no dry season, hot summer",213054,Medium (50k-500k),13.944173
Nanping,China,Asia,118.125,26.51076933,14,Cfa,"Temperate, no dry season, hot summer",213054,Medium (50k-500k),30.091227
Nanping,China,Asia,118.125,26.64925366,14,Cfa,"Temperate, no dry season, hot summer",213054,Medium (50k-500k),30.091227
Shangrao,China,Asia,118.125,28.5193755,14,Cfa,"Temperate, no dry season, hot summer",1144577,Very Large (>1M),21.778934
Shangrao,China,Asia,118.125,28.59797927,14,Cfa,"Temperate, no dry season, hot summer",1144577,Very Large (>1M),21.778934
Shangrao,China,Asia,118.125,28.59797927,14,Cfa,"Temperate, no dry season, hot summer",1144577,Very Large (>1M),21.778934
Shangrao,China,Asia,118.125,28.7157157,14,Cfa,"Temperate, no dry season, hot summer",1144577,Very Large (>1M),21.778934
Shangrao,China,Asia,118.125,28.75,14,Cfa,"Temperate, no dry season, hot summer",1144577,Very Large (>1M),27.162527
Tongling,China,Asia,118.125,30.77673912,14,Cfa,"Temperate, no dry season, hot summer",562832,Large (500k-1M),21.049952
Tongling,China,Asia,118.125,30.77674406,14,Cfa,"Temperate, no dry season, hot summer",562832,Large (500k-1M),21.049952
Tongling,China,Asia,118.125,30.8409555,14,Cfa,"Temperate, no dry season, hot summer",562832,Large (500k-1M),21.049952
Wuhu,China,Asia,118.125,31.25,14,Cfa,"Temperate, no dry season, hot summer",810000,Large (500k-1M),29.996992
Wuhu,China,Asia,118.125,31.3245577,14,Cfa,"Temperate, no dry season, hot summer",810000,Large (500k-1M),29.996992
Wuhu,China,Asia,118.125,31.51724377,14,Cfa,"Temperate, no dry season, hot summer",810000,Large (500k-1M),9.710539
Xinyi,China,Asia,118.125,34.12973913,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),28.174778
Xinyi,China,Asia,118.125,34.2054185,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),28.174778
Xinyi,China,Asia,118.125,34.2054185,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),28.174778
Xinyi,China,Asia,118.125,34.31877008,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),28.174778
Xinyi,China,Asia,118.125,34.5072403,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),5.1603656
Xinyi,China,Asia,118.125,34.50724334,11,Cwa,"Temperate, dry winter, hot summer",962656,Large (500k-1M),5.1603656
Linyi,China,Asia,118.125,34.88252099,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),24.064451
Linyi,China,Asia,118.125,35,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),29.578014
Linyi,China,Asia,118.125,35.06479941,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),29.578014
Linyi,China,Asia,118.125,35.32690576,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),3.374789
Linyi,China,Asia,118.125,35.32690576,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),3.374789
Zibo,China,Asia,118.125,36.93491964,11,Cwa,"Temperate, dry winter, hot summer",3061000,Very Large (>1M),5.808886
Buizhou,China,Asia,118.125,37.12029431,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),5.808886
