city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Antananarivo,Madagascar,Africa,47.5,-19.31937173,11,Cwa,"Temperate, dry winter, hot summer",1697000,Very Large (>1M),15.971542
Antananarivo,Madagascar,Africa,47.5,-19.014084,11,Cwa,"Temperate, dry winter, hot summer",1697000,Very Large (>1M),15.971542
Gaalkacyo,Somalia,Africa,47.5,7.068062827,4,BWh,"Arid, desert, hot",61200,Medium (50k-500k),21.437897
Al Jahra,Kuwait,Asia,47.5,29.15493,4,BWh,"Arid, desert, hot",194193,Medium (50k-500k),16.573803
Al Jahra,Kuwait,Asia,47.5,29.68586387,4,BWh,"Arid, desert, hot",194193,Medium (50k-500k),22.909267
Az Aubayr,Iraq,Asia,47.5,30.422535,4,BWh,"Arid, desert, hot",262219,Medium (50k-500k),14.376539
Az Aubayr,Iraq,Asia,47.5,30.62827225,4,BWh,"Arid, desert, hot",870000,Large (500k-1M),14.376539
Kermanshah,Iran,Asia,47.5,34.39790576,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",828313,Large (500k-1M),15.058312
Goycay,Azerbaijan,Asia,47.5,40.56338,6,BSh,"Arid, steppe, hot",35348,Small (<50k),20.14353
Oğuz,Azerbaijan,Asia,47.5,40.9947644,7,BSk,"Arid, steppe, cold",6876,Small (<50k),12.143299
Makhachkala,Russia,Europe,47.5,42.87958115,7,BSk,"Arid, steppe, cold",81752,Medium (50k-500k),21.260609
Volsk,Russia,Europe,47.5,51.971832,7,BSk,"Arid, steppe, cold",70500,Medium (50k-500k),-6.551376
Cheboksary,Russia,Europe,47.5,56.07329843,25,Dfa,"Cold, no dry season, hot summer",446781,Medium (50k-500k),-9.92621
Farafangana,Madagascar,Africa,47.8125,-22.90900923,2,Am,"Tropical, monsoon",24764,Small (<50k),25.233232
Antananarivo,Madagascar,Africa,47.8125,-19.16876398,11,Cwa,"Temperate, dry winter, hot summer",1697000,Very Large (>1M),15.971542
Antananarivo,Madagascar,Africa,47.8125,-18.91035725,11,Cwa,"Temperate, dry winter, hot summer",1697000,Very Large (>1M),15.971542
