city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Belgrano II Base,Antarctica,Antarctica,-34.875,-77.94262425,0,EF,"Polar, frost/ice cap",100,Small (<50k)
Belgrano II Base,Antarctica,Antarctica,-34.875,-77.94262425,0,EF,"Polar, frost/ice cap",100,Small (<50k)
Aboa Station,Antarctica,Antarctica,-13.75,-75,0,EF,"Polar, frost/ice cap",18,Small (<50k)
Aboa Station,Antarctica,Antarctica,-13.125,-75,0,EF,"Polar, frost/ice cap",18,Small (<50k)
Svea Station,Antarctica,Antarctica,-11.25,-74.57843166,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Svea Station,Antarctica,Antarctica,-11.25,-74.57843166,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Wasa Station,Antarctica,Antarctica,-13.75,-73.03664921,1.396942996,EF,"Polar, frost/ice cap",10,Small (<50k)
Wasa Station,Antarctica,Antarctica,-13.75,-73,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Troll Station,Antarctica,Antarctica,2.5,-72.09424084,1.381272279,EF,"Polar, frost/ice cap",44,Small (<50k)
Novolazarevskaya Station,Antarctica,Antarctica,-12,-71.28958017,0,EF,"Polar, frost/ice cap",70,Small (<50k)
Neumayer Station III,Antarctica,Antarctica,-7.5,-70.985916,0,EF,"Polar, frost/ice cap",40,Small (<50k)
Dumont d'Urville Station,Antarctica,Antarctica,139.6875,-66.875,1.084492569,EF,"Polar, frost/ice cap",120,Small (<50k)
Dumont d'Urville Station,Antarctica,Antarctica,139.6875,-66.85669072,0,EF,"Polar, frost/ice cap",120,Small (<50k)
Casey Station,Antarctica,Antarctica,110.625,-66.25,0,ET,"Polar, tundra",200,Small (<50k)
Gen. O'Higgins Base,Antarctica,Antarctica,-57.5,-63.380283,0,ET,"Polar, tundra",44,Small (<50k)
Esperanza Base,Antarctica,Antarctica,-57.375,-63.36393171,0,ET,"Polar, tundra",250,Small (<50k)
Esperanza Base,Antarctica,Antarctica,-57.375,-63.36393171,0,ET,"Polar, tundra",250,Small (<50k)
Great Wall Station,Antarctica,Antarctica,-59.0625,-62.33380314,1.077828592,ET,"Polar, tundra",40,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.13089005,0.899249644,Cfc,"Temperate, no dry season, cold summer",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.02481079,0,ET,"Polar, tundra",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.02480754,0,ET,"Polar, tundra",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55,0,Cfc,"Temperate, no dry season, cold summer",2500,Small (<50k)
Ushuaia,Argentina,South America,-68,-54.75,0.71327318,ET,"Polar, tundra",58028,Medium (50k-500k)
Ushuaia,Argentina,South America,-68.4375,-54.70102573,0,ET,"Polar, tundra",58028,Medium (50k-500k)
Puerto Williams,Chile,South America,-67.5,-54.70102573,0,ET,"Polar, tundra",2500,Small (<50k)
Grytviken,South Georgia and the Islands,Seven seas (open ocean),-36.5625,-54.41619953,1.403118085,EF,"Polar, frost/ice cap",99,Small (<50k)
Grytviken,South Georgia and the Islands,Seven seas (open ocean),-36.5625,-54.375,1.10721633,ET,"Polar, tundra",99,Small (<50k)
Punta Arenas,Chile,South America,-71.25,-53.2460733,1.099908073,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Punta Arenas,Chile,South America,-71.25,-53.1595993,0,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Punta Arenas,Chile,South America,-71.25,-53.15959537,0,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Río Verde,Chile,South America,-71.71875,-52.52861709,1.011553142,Cfb,"Temperate, no dry season, warm summer",358,Small (<50k)
Río Verde,Chile,South America,-71.25,-52.5,0,BSk,"Arid, steppe, cold",358,Small (<50k)
Puerto Natales,Chile,South America,-72.5,-51.971832,0,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.971832,0,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
28 de Noviembre,Argentina,South America,-72.1875,-51.89585745,0,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.89585745,0,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
28 de Noviembre,Argentina,South America,-72.1875,-51.875,1.176906916,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
28 de Noviembre,Argentina,South America,-72,-51.75,0.602767518,Cfb,"Temperate, no dry season, warm summer",5300,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.75,1.258911379,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
Stanley,Falkland Islands,South America,-58,-51.75,1.068896406,Cfb,"Temperate, no dry season, warm summer",2213,Small (<50k)
28 de Noviembre,Argentina,South America,-72,-51.64556962,0,Cfb,"Temperate, no dry season, warm summer",5300,Small (<50k)
Stanley,Falkland Islands,South America,-58,-51.64556962,0,Cfb,"Temperate, no dry season, warm summer",2213,Small (<50k)
El Calafate,Argentina,South America,-72.5,-50.41884817,0.754840691,BSk,"Arid, steppe, cold",8000,Small (<50k)
El Calafate,Argentina,South America,-72,-50.25,0.58742711,BWk,"Arid, desert, cold",8000,Small (<50k)
Comondante Luis Piedrabuena,Argentina,South America,-68.625,-49.90621184,0,BWk,"Arid, desert, cold",410,Small (<50k)
Comondante Luis Piedrabuena,Argentina,South America,-68.625,-49.90621184,0,BWk,"Arid, desert, cold",410,Small (<50k)
Comondante Luis Piedrabuena,Argentina,South America,-68.90625,-49.72711456,0.91771854,BWk,"Arid, desert, cold",410,Small (<50k)
Gobernador Gregores,Argentina,South America,-70.3125,-48.83524097,0.823127496,BWk,"Arid, desert, cold",2519,Small (<50k)
Gobernador Gregores,Argentina,South America,-70,-48.75,0.984448275,BWk,"Arid, desert, cold",2519,Small (<50k)
Villa O'Higgins,Chile,South America,-72.5,-48.53403141,0.914230418,ET,"Polar, tundra",250,Small (<50k)
Gobernador Gregores,Argentina,South America,-70,-48.53403141,1.148213529,BWk,"Arid, desert, cold",2519,Small (<50k)
Cochrane,Chile,South America,-72.1875,-47.22057036,0,Csb,"Temperate, dry summer, warm summer",4441,Small (<50k)
Oban,New Zealand,Oceania,167.8125,-46.875,0.937648606,Cfb,"Temperate, no dry season, warm summer",310,Small (<50k)
Perito Moreno,Argentina,South America,-71.25,-46.64921466,0.742781266,BWk,"Arid, desert, cold",3766,Small (<50k)
Invercargill,New Zealand,Oceania,168.75,-46.54176268,0,Cfb,"Temperate, no dry season, warm summer",49200,Small (<50k)
Perito Moreno,Argentina,South America,-70.875,-46.54176268,0,BWk,"Arid, desert, cold",3766,Small (<50k)
Invercargill,New Zealand,Oceania,168.75,-46.54176268,0,Cfb,"Temperate, no dry season, warm summer",49200,Small (<50k)
Perito Moreno,Argentina,South America,-70.875,-46.54176268,0,BWk,"Arid, desert, cold",3766,Small (<50k)
Gore,New Zealand,Oceania,168.75,-46.28551215,0,Cfb,"Temperate, no dry season, warm summer",9750,Small (<50k)
Gore,New Zealand,Oceania,168.75,-46.25,0,Cfb,"Temperate, no dry season, warm summer",9750,Small (<50k)
Gore,New Zealand,Oceania,168.75,-46.04472663,1.257084252,Cfb,"Temperate, no dry season, warm summer",9750,Small (<50k)
Coihaique,Chile,South America,-72,-45.75,0.818408742,Csb,"Temperate, dry summer, warm summer",45787,Small (<50k)
Paso Río Mayo,Argentina,South America,-70,-45.75,0.885137074,BSk,"Arid, steppe, cold",1825,Small (<50k)
Paso Río Mayo,Argentina,South America,-70,-45.70680628,1.051848044,BSk,"Arid, steppe, cold",1825,Small (<50k)
Sarmiento,Argentina,South America,-68.75,-45.70680628,0.998507349,BWk,"Arid, desert, cold",5185,Small (<50k)
Comodoro Rivadavia,Argentina,South America,-67.5,-45.70680628,1.123855108,BWk,"Arid, desert, cold",140850,Medium (50k-500k)
Sarmiento,Argentina,South America,-69.375,-45.69869388,0,BWk,"Arid, desert, cold",5185,Small (<50k)
Comodoro Rivadavia,Argentina,South America,-67.5,-45.69869388,0,BWk,"Arid, desert, cold",140850,Medium (50k-500k)
Sarmiento,Argentina,South America,-69.375,-45.69868851,0,BWk,"Arid, desert, cold",5185,Small (<50k)
Comodoro Rivadavia,Argentina,South America,-67.5,-45.69868851,0,BWk,"Arid, desert, cold",140850,Medium (50k-500k)
Te Anau,New Zealand,Oceania,167.5,-45.633804,0,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Puerto Aisén,Chile,South America,-72.5,-45.633804,0,Cfb,"Temperate, no dry season, warm summer",8067,Small (<50k)
Paso Río Mayo,Argentina,South America,-70,-45.633804,0,BSk,"Arid, steppe, cold",1825,Small (<50k)
Comodoro Rivadavia,Argentina,South America,-67.5,-45.633804,0,BWk,"Arid, desert, cold",140850,Medium (50k-500k)
Te Anau,New Zealand,Oceania,167.8125,-45.625,1.077327485,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Coihaique,Chile,South America,-72.1875,-45.625,1.242352356,Cfb,"Temperate, no dry season, warm summer",45787,Small (<50k)
Paso Río Mayo,Argentina,South America,-70.3125,-45.625,1.148150727,BSk,"Arid, steppe, cold",1825,Small (<50k)
Te Anau,New Zealand,Oceania,168,-45.56962025,0,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Coihaique,Chile,South America,-72,-45.56962025,0,Cfb,"Temperate, no dry season, warm summer",45787,Small (<50k)
Paso Río Mayo,Argentina,South America,-70,-45.56962025,0,BSk,"Arid, steppe, cold",1825,Small (<50k)
Coihaique,Chile,South America,-71.71875,-45.5248501,0.713580372,Csb,"Temperate, dry summer, warm summer",45787,Small (<50k)
Paso Río Mayo,Argentina,South America,-70.3125,-45.5248501,0.777697755,BSk,"Arid, steppe, cold",1825,Small (<50k)
Sarmiento,Argentina,South America,-68.90625,-45.5248501,0.768652556,BWk,"Arid, desert, cold",5185,Small (<50k)
Te Anau,New Zealand,Oceania,167.625,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Puerto Aisén,Chile,South America,-73.125,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",8067,Small (<50k)
Coihaique,Chile,South America,-72,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",45787,Small (<50k)
Te Anau,New Zealand,Oceania,167.625,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Puerto Aisén,Chile,South America,-73.125,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",8067,Small (<50k)
Coihaique,Chile,South America,-72,-45.42027863,0,Cfb,"Temperate, no dry season, warm summer",45787,Small (<50k)
Te Anau,New Zealand,Oceania,167.8125,-45.3504537,0,Cfb,"Temperate, no dry season, warm summer",1857,Small (<50k)
Coihaique,Chile,South America,-72.1875,-45.3504537,0,Dfc,"Cold, no dry season, cold summer",45787,Small (<50k)
Queenstown,New Zealand,Oceania,168.75,-45,1.097308608,Cfb,"Temperate, no dry season, warm summer",16600,Small (<50k)
Oamaru,New Zealand,Oceania,170.625,-45,0,Cfb,"Temperate, no dry season, warm summer",13000,Small (<50k)
Alto Rio Sanguer,Argentina,South America,-71.25,-45,1.013888776,Csb,"Temperate, dry summer, warm summer",1548,Small (<50k)
Queenstown,New Zealand,Oceania,168.75,-44.76439791,0.964309109,Cfb,"Temperate, no dry season, warm summer",16600,Small (<50k)
Timaru,New Zealand,Oceania,171,-44.29879413,0,Cfb,"Temperate, no dry season, warm summer",27200,Small (<50k)
Timaru,New Zealand,Oceania,171,-44.29879413,0,Cfb,"Temperate, no dry season, warm summer",27200,Small (<50k)
Ashburton,New Zealand,Oceania,171.5625,-44.12409297,1.526478377,Cfb,"Temperate, no dry season, warm summer",17700,Small (<50k)
Christchurch,New Zealand,Oceania,172.5,-43.83346176,0,Cfb,"Temperate, no dry season, warm summer",363200,Medium (50k-500k)
Las Plumas,Argentina,South America,-67.5,-43.83346176,0,BWk,"Arid, desert, cold",605,Small (<50k)
Christchurch,New Zealand,Oceania,172.5,-43.83345858,0,Cfb,"Temperate, no dry season, warm summer",363200,Medium (50k-500k)
Las Plumas,Argentina,South America,-67.5,-43.83345858,0,BWk,"Arid, desert, cold",605,Small (<50k)
Christchurch,New Zealand,Oceania,172.5,-43.82198953,1.274462139,Cfb,"Temperate, no dry season, warm summer",363200,Medium (50k-500k)
Las Plumas,Argentina,South America,-67.5,-43.82198953,1.045816801,BWk,"Arid, desert, cold",605,Small (<50k)
Waitangi,New Zealand,Oceania,-176.25,-43.75,0,Cfb,"Temperate, no dry season, warm summer",300,Small (<50k)
Las Plumas,Argentina,South America,-67.5,-43.75,0,BWk,"Arid, desert, cold",605,Small (<50k)
Christchurch,New Zealand,Oceania,172.5,-43.4803362,0,Cfb,"Temperate, no dry season, warm summer",363200,Medium (50k-500k)
Las Plumas,Argentina,South America,-67.5,-43.4803362,0,BWk,"Arid, desert, cold",605,Small (<50k)
Trelew,Argentina,South America,-65.625,-43.4803362,0,BWk,"Arid, desert, cold",93442,Medium (50k-500k)
Trelew,Argentina,South America,-65.25,-43.17730923,0,BWk,"Arid, desert, cold",93442,Medium (50k-500k)
Trelew,Argentina,South America,-65.25,-43.17730923,0,BWk,"Arid, desert, cold",93442,Medium (50k-500k)
Kingston,Australia,Oceania,147.1875,-43.125,1.188915925,Cfb,"Temperate, no dry season, warm summer",14371,Small (<50k)
Kaiapoi,New Zealand,Oceania,172.5,-43.09859,0,Cfb,"Temperate, no dry season, warm summer",10200,Small (<50k)
Rawson,Argentina,South America,-65,-43.09859,0,BWk,"Arid, desert, cold",26335,Small (<50k)
Quellón,Chile,South America,-73.75,-43,0,Cfb,"Temperate, no dry season, warm summer",7029,Small (<50k)
Esquel,Argentina,South America,-71.25,-43,0,Dsb,"Cold, dry summer, warm summer",20048,Small (<50k)
Hobart,Australia,Oceania,147.5,-42.87958115,1.124137923,Cfb,"Temperate, no dry season, warm summer",80870,Medium (50k-500k)
Hokitika,New Zealand,Oceania,171.25,-42.87958115,1.067629294,Cfb,"Temperate, no dry season, warm summer",3078,Small (<50k)
Chonchi,Chile,South America,-73.75,-42.87958115,0.739435349,Cfb,"Temperate, no dry season, warm summer",381,Small (<50k)
Esquel,Argentina,South America,-71.25,-42.87958115,0.823584622,Csb,"Temperate, dry summer, warm summer",20048,Small (<50k)
Puerto Madryn,Argentina,South America,-65,-42.87958115,1.291382355,BWk,"Arid, desert, cold",64555,Medium (50k-500k)
Chonchi,Chile,South America,-74,-42.75,0.869484085,Cfb,"Temperate, no dry season, warm summer",381,Small (<50k)
Hobart,Australia,Oceania,147.65625,-42.72333486,0.909406127,Cfb,"Temperate, no dry season, warm summer",80870,Medium (50k-500k)
Oatlands,Australia,Oceania,147.1875,-42.54527717,0,BSk,"Arid, steppe, cold",1157,Small (<50k)
Greymouth,New Zealand,Oceania,171.5625,-42.54527717,0,Cfb,"Temperate, no dry season, warm summer",10100,Small (<50k)
Kaikoura,New Zealand,Oceania,173.4375,-42.54527717,0,Cfb,"Temperate, no dry season, warm summer",2172,Small (<50k)
Chonchi,Chile,South America,-74.0625,-42.54527717,0,Cfb,"Temperate, no dry season, warm summer",381,Small (<50k)
Gastre,Argentina,South America,-69.375,-42.54527717,0,BWk,"Arid, desert, cold",557,Small (<50k)
Telsen,Argentina,South America,-66.5625,-42.54527717,0,BWk,"Arid, desert, cold",500,Small (<50k)
Gastre,Argentina,South America,-69.375,-42.5,0,BWk,"Arid, desert, cold",557,Small (<50k)
Oatlands,Australia,Oceania,147.375,-42.05582395,0,BSk,"Arid, steppe, cold",1157,Small (<50k)
El Maitén,Argentina,South America,-70.875,-42.05582395,0,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Oatlands,Australia,Oceania,147.375,-42.05582395,0,BSk,"Arid, steppe, cold",1157,Small (<50k)
El Maitén,Argentina,South America,-70.875,-42.05582395,0,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Bicheno,Australia,Oceania,148.125,-41.96822027,0,Cfb,"Temperate, no dry season, warm summer",177,Small (<50k)
El Maitén,Argentina,South America,-71.25,-41.96822027,0,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Gastre,Argentina,South America,-69.375,-41.96822027,0,BSk,"Arid, steppe, cold",557,Small (<50k)
Bicheno,Australia,Oceania,148.125,-41.96821976,0,Cfb,"Temperate, no dry season, warm summer",177,Small (<50k)
El Maitén,Argentina,South America,-71.25,-41.96821976,0,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Gastre,Argentina,South America,-69.375,-41.96821976,0,BSk,"Arid, steppe, cold",557,Small (<50k)
El Maitén,Argentina,South America,-71.25,-41.93717277,0.780955797,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Queenstown,Australia,Oceania,145.3125,-41.875,0.854823928,Cfb,"Temperate, no dry season, warm summer",2352,Small (<50k)
Westport,New Zealand,Oceania,171.5625,-41.875,1.013874849,Cfb,"Temperate, no dry season, warm summer",3900,Small (<50k)
Launceston,Australia,Oceania,147.1875,-41.61021796,0,Cfb,"Temperate, no dry season, warm summer",72458,Medium (50k-500k)
Bicheno,Australia,Oceania,148.125,-41.61021796,0,Cfb,"Temperate, no dry season, warm summer",177,Small (<50k)
Calbuco,Chile,South America,-73.125,-41.61021796,0,Cfb,"Temperate, no dry season, warm summer",12490,Small (<50k)
Blenheim,New Zealand,Oceania,174,-41.51898734,0,Cfb,"Temperate, no dry season, warm summer",30300,Small (<50k)
Devonport,Australia,Oceania,146.25,-41.32257587,1.078233742,Cfb,"Temperate, no dry season, warm summer",19317,Small (<50k)
Scottsdale,Australia,Oceania,147.65625,-41.32257587,1.002836255,Cfb,"Temperate, no dry season, warm summer",2468,Small (<50k)
Nelson,New Zealand,Oceania,172.96875,-41.32257587,1.316488287,Cfb,"Temperate, no dry season, warm summer",60800,Medium (50k-500k)
Puerto Varas,Chile,South America,-73.125,-41.32257587,0.812045519,Cfb,"Temperate, no dry season, warm summer",24958,Small (<50k)
Comallo,Argentina,South America,-70.3125,-41.32257587,0.790945081,Csb,"Temperate, dry summer, warm summer",741,Small (<50k)
Burnie,Australia,Oceania,146,-41.25,1.20772423,Cfb,"Temperate, no dry season, warm summer",19972,Small (<50k)
Devonport,Australia,Oceania,146.25,-41.25,0,Cfb,"Temperate, no dry season, warm summer",19317,Small (<50k)
Puerto Varas,Chile,South America,-73.125,-41.25,0,Cfb,"Temperate, no dry season, warm summer",24958,Small (<50k)
Bariloche,Argentina,South America,-71.25,-41.25,0,Csb,"Temperate, dry summer, warm summer",95394,Medium (50k-500k)
Comallo,Argentina,South America,-70,-41.25,0.861288964,Csb,"Temperate, dry summer, warm summer",741,Small (<50k)
Ingeniero Jacobacci,Argentina,South America,-69.375,-41.25,0,BWk,"Arid, desert, cold",5719,Small (<50k)
Bariloche,Argentina,South America,-71.25,-41,0,Csb,"Temperate, dry summer, warm summer",95394,Medium (50k-500k)
Smithton,Australia,Oceania,145,-40.9947644,1.052711563,Cfb,"Temperate, no dry season, warm summer",4202,Small (<50k)
Scottsdale,Australia,Oceania,147.5,-40.9947644,1.271087309,Cfb,"Temperate, no dry season, warm summer",2468,Small (<50k)
Paraparaumu,New Zealand,Oceania,175,-40.9947644,1.143225904,Cfb,"Temperate, no dry season, warm summer",25263,Small (<50k)
Bariloche,Argentina,South America,-71.25,-40.9947644,0.747402358,Csb,"Temperate, dry summer, warm summer",95394,Medium (50k-500k)
Comallo,Argentina,South America,-70,-40.9947644,1.107452677,Csb,"Temperate, dry summer, warm summer",741,Small (<50k)
Smithton,Australia,Oceania,145.125,-40.93433832,0,Cfb,"Temperate, no dry season, warm summer",4202,Small (<50k)
Masterton,New Zealand,Oceania,175.5,-40.93433832,0,Cfb,"Temperate, no dry season, warm summer",20200,Small (<50k)
San Antonio Oeste,Argentina,South America,-65.25,-40.93433832,0,BWk,"Arid, desert, cold",8492,Small (<50k)
Viedma,Argentina,South America,-63,-40.93433832,0,BSk,"Arid, steppe, cold",59122,Medium (50k-500k)
Smithton,Australia,Oceania,145.125,-40.93433832,0,Cfb,"Temperate, no dry season, warm summer",4202,Small (<50k)
Masterton,New Zealand,Oceania,175.5,-40.93433832,0,Cfb,"Temperate, no dry season, warm summer",20200,Small (<50k)
San Antonio Oeste,Argentina,South America,-65.25,-40.93433832,0,BWk,"Arid, desert, cold",8492,Small (<50k)
Viedma,Argentina,South America,-63,-40.93433832,0,BSk,"Arid, steppe, cold",59122,Medium (50k-500k)
Levin,New Zealand,Oceania,175.3125,-40.67515858,0,Cfb,"Temperate, no dry season, warm summer",19550,Small (<50k)
Osorno,Chile,South America,-73.125,-40.67515858,0,Csb,"Temperate, dry summer, warm summer",154131,Medium (50k-500k)
Sierra Colorado,Argentina,South America,-67.5,-40.67515858,0,BWk,"Arid, desert, cold",1522,Small (<50k)
San Antonio Oeste,Argentina,South America,-64.6875,-40.67515858,0,BSk,"Arid, steppe, cold",8492,Small (<50k)
Viedma,Argentina,South America,-62.8125,-40.67515858,0,BSk,"Arid, steppe, cold",59122,Medium (50k-500k)
Levin,New Zealand,Oceania,175.3125,-40.625,1.192901644,Cfb,"Temperate, no dry season, warm summer",19550,Small (<50k)
San Antonio Oeste,Argentina,South America,-64.6875,-40.625,1.663574215,BSk,"Arid, steppe, cold",8492,Small (<50k)
Viedma,Argentina,South America,-62.8125,-40.625,1.137327348,BSk,"Arid, steppe, cold",59122,Medium (50k-500k)
Sierra Colorado,Argentina,South America,-67.5,-40.56338,0,BWk,"Arid, desert, cold",1522,Small (<50k)
San Antonio Oeste,Argentina,South America,-65,-40.56338,0,BSk,"Arid, steppe, cold",8492,Small (<50k)
Osorno,Chile,South America,-73.125,-40.46364818,0.730838632,Csb,"Temperate, dry summer, warm summer",154131,Medium (50k-500k)
Sierra Colorado,Argentina,South America,-67.5,-40.46364818,1.244432121,BWk,"Arid, desert, cold",1522,Small (<50k)
San Antonio Oeste,Argentina,South America,-64.6875,-40.46364818,1.233524707,BSk,"Arid, steppe, cold",8492,Small (<50k)
La Unión,Chile,South America,-73.125,-40.10298157,0,Csb,"Temperate, dry summer, warm summer",26298,Small (<50k)
La Unión,Chile,South America,-73.125,-40.1029793,0,Csb,"Temperate, dry summer, warm summer",26298,Small (<50k)
Los Lagos,Chile,South America,-72.5,-40.05235602,0.782024497,Cfb,"Temperate, no dry season, warm summer",12813,Small (<50k)
Villalonga,Argentina,South America,-62.5,-40.05235602,1.520089148,BSk,"Arid, steppe, cold",2838,Small (<50k)
Valdivia,Chile,South America,-73.125,-40,0,Csb,"Temperate, dry summer, warm summer",159599,Medium (50k-500k)
Valdivia,Chile,South America,-73.125,-39.92181607,0.724497491,Csb,"Temperate, dry summer, warm summer",159599,Medium (50k-500k)
General Conesa,Argentina,South America,-64.6875,-39.92181607,0.966071412,BSh,"Arid, steppe, hot",2958,Small (<50k)
Hastings,New Zealand,Oceania,176.625,-39.81285237,0,Cfb,"Temperate, no dry season, warm summer",66100,Medium (50k-500k)
Valdivia,Chile,South America,-73.125,-39.81285237,0,Csb,"Temperate, dry summer, warm summer",159599,Medium (50k-500k)
Villalonga,Argentina,South America,-63,-39.81285237,0,BSk,"Arid, steppe, cold",2838,Small (<50k)
Hastings,New Zealand,Oceania,176.625,-39.81285237,0,Cfb,"Temperate, no dry season, warm summer",66100,Medium (50k-500k)
Valdivia,Chile,South America,-73.125,-39.81285237,0,Csb,"Temperate, dry summer, warm summer",159599,Medium (50k-500k)
Villalonga,Argentina,South America,-63,-39.81285237,0,BSk,"Arid, steppe, cold",2838,Small (<50k)
Whanganui,New Zealand,Oceania,175.3125,-39.74009906,0,Cfb,"Temperate, no dry season, warm summer",43200,Small (<50k)
Valdivia,Chile,South America,-73.125,-39.74009906,0,Csb,"Temperate, dry summer, warm summer",159599,Medium (50k-500k)
Villalonga,Argentina,South America,-62.8125,-39.74009906,0,BSk,"Arid, steppe, cold",2838,Small (<50k)
Hawera,New Zealand,Oceania,174,-39.49367089,0,Cfb,"Temperate, no dry season, warm summer",11100,Small (<50k)
Villarica,Chile,South America,-72,-39.49367089,0,Cfb,"Temperate, no dry season, warm summer",31602,Small (<50k)
Choele Choel,Argentina,South America,-66,-39.49367089,0,BSh,"Arid, steppe, hot",10000,Small (<50k)
Villarica,Chile,South America,-72.1875,-39.375,1.142019151,Cfb,"Temperate, no dry season, warm summer",31602,Small (<50k)
Pedro Luro,Argentina,South America,-62.8125,-39.375,1.149252982,BSk,"Arid, steppe, cold",7100,Small (<50k)
Loncoche,Chile,South America,-72.5,-39.295776,0,Csb,"Temperate, dry summer, warm summer",15590,Small (<50k)
General Roca,Argentina,South America,-67.5,-39.295776,0,BWk,"Arid, desert, cold",73212,Medium (50k-500k)
Pedro Luro,Argentina,South America,-62.5,-39.295776,0,BSk,"Arid, steppe, cold",7100,Small (<50k)
Loncoche,Chile,South America,-72.5,-39.10994764,0.802512989,Csb,"Temperate, dry summer, warm summer",31602,Small (<50k)
Zapala,Argentina,South America,-70,-39.10994764,1.152053687,BWk,"Arid, desert, cold",19152,Small (<50k)
General Roca,Argentina,South America,-67.5,-39.10994764,1.175455476,BWh,"Arid, desert, hot",73212,Medium (50k-500k)
Río Colorado,Argentina,South America,-63.75,-39.10994764,1.36227084,BSh,"Arid, steppe, hot",11499,Small (<50k)
Taupo,New Zealand,Oceania,176.25,-39,0,Cfb,"Temperate, no dry season, warm summer",22600,Small (<50k)
Río Colorado,Argentina,South America,-63.75,-39,0,BSh,"Arid, steppe, hot",11499,Small (<50k)
Taupo,New Zealand,Oceania,176.25,-38.80503939,0,Cfb,"Temperate, no dry season, warm summer",22600,Small (<50k)
Carahue,Chile,South America,-73.125,-38.80503939,0,Csb,"Temperate, dry summer, warm summer",11875,Small (<50k)
Temuco,Chile,South America,-72.1875,-38.80503939,0,Csb,"Temperate, dry summer, warm summer",265901,Medium (50k-500k)
Zapala,Argentina,South America,-70.3125,-38.80503939,0,Csa,"Temperate, dry summer, hot summer (Mediterranean)",19152,Small (<50k)
Cutral Có,Argentina,South America,-69.375,-38.80503939,0,BWk,"Arid, desert, cold",47814,Small (<50k)
Neuquén,Argentina,South America,-68.4375,-38.80503939,0,BWh,"Arid, desert, hot",242092,Medium (50k-500k)
General Roca,Argentina,South America,-67.5,-38.80503939,0,BWh,"Arid, desert, hot",73212,Medium (50k-500k)
Río Colorado,Argentina,South America,-63.75,-38.80503939,0,BSh,"Arid, steppe, hot",11499,Small (<50k)
Punta Alta,Argentina,South America,-61.875,-38.80503939,0,Cfa,"Temperate, no dry season, hot summer",57209,Medium (50k-500k)
Taupo,New Zealand,Oceania,176.25,-38.75,0,Cfb,"Temperate, no dry season, warm summer",22600,Small (<50k)
Carahue,Chile,South America,-73.125,-38.75,0,Csb,"Temperate, dry summer, warm summer",11875,Small (<50k)
Lonquimay,Chile,South America,-71.25,-38.75,0,Csb,"Temperate, dry summer, warm summer",10237,Small (<50k)
Cutral Có,Argentina,South America,-69.375,-38.75,0,BWk,"Arid, desert, cold",47814,Small (<50k)
General Roca,Argentina,South America,-67.5,-38.75,0,BWh,"Arid, desert, hot",73212,Medium (50k-500k)
Río Colorado,Argentina,South America,-63.75,-38.75,0,BSh,"Arid, steppe, hot",11499,Small (<50k)
Punta Alta,Argentina,South America,-61.875,-38.75,0,Cfa,"Temperate, no dry season, hot summer",57209,Medium (50k-500k)
Gisborne,New Zealand,Oceania,177.75,-38.69136612,0,Cfb,"Temperate, no dry season, warm summer",34300,Small (<50k)
Carahue,Chile,South America,-73.125,-38.69136612,0,Csb,"Temperate, dry summer, warm summer",11875,Small (<50k)
