city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Abohar,India,Asia,74.53125,30.11647993,1.064606341,BSh,"Arid, steppe, hot",130603,Medium (50k-500k)
Saharanpur,India,Asia,77.34375,30.11647993,1.249868735,Cwa,"Temperate, dry winter, hot summer",484873,Medium (50k-500k)
Jingzhou,China,Asia,112.5,30.11647993,1.037960449,Cfa,"Temperate, no dry season, hot summer",520000,Large (500k-1M)
Huangshi,China,Asia,115.3125,30.11647993,1.042788601,Cfa,"Temperate, no dry season, hot summer",688090,Large (500k-1M)
Fuyang,China,Asia,119.53125,30.11647993,1.100238343,Cfa,"Temperate, no dry season, hot summer",771000,Large (500k-1M)
Shaoxing,China,Asia,120.9375,30.11647993,1.08326543,Cfa,"Temperate, no dry season, hot summer",777000,Large (500k-1M)
Nacozari de García,Mexico,North America,-109.6875,30.11647993,0.661953578,BSh,"Arid, steppe, hot",11872,Small (<50k)
Conroe,United States of America,North America,-95.625,30.11647993,0.845523128,Cfa,"Temperate, no dry season, hot summer",41643,Small (<50k)
Beaumont,United States of America,North America,-94.21875,30.11647993,0.861158475,Cfa,"Temperate, no dry season, hot summer",111485,Medium (50k-500k)
Lake Charles,United States of America,North America,-92.8125,30.11647993,0.842923372,Cfa,"Temperate, no dry season, hot summer",83821,Medium (50k-500k)
New Iberia,United States of America,North America,-91.40625,30.11647993,0.857367854,Cfa,"Temperate, no dry season, hot summer",37540,Small (<50k)
Tallahassee,United States of America,North America,-84.375,30.11647993,0.79486384,Cfa,"Temperate, no dry season, hot summer",221222,Medium (50k-500k)
Lake City,United States of America,North America,-82.96875,30.11647993,0.786900817,Cfa,"Temperate, no dry season, hot summer",29395,Small (<50k)
Jacksonville,United States of America,North America,-81.5625,30.11647993,0.855579669,Cfa,"Temperate, no dry season, hot summer",988000,Large (500k-1M)
El Goléa,Algeria,Africa,2.8125,30.38949705,0,BWh,"Arid, desert, hot",32049,Small (<50k)
Ghadamis,Libya,Africa,9.375,30.38949705,0,BWh,"Arid, desert, hot",6623,Small (<50k)
Dirj,Libya,Africa,10.3125,30.38949705,0,BWh,"Arid, desert, hot",931,Small (<50k)
Shibin el Kom,Egypt,Africa,30.9375,30.38949705,0,BWh,"Arid, desert, hot",182900,Medium (50k-500k)
Zagazig,Egypt,Africa,31.875,30.38949705,0,BWh,"Arid, desert, hot",285097,Medium (50k-500k)
Ma'an,Jordan,Asia,35.625,30.38949705,0,BWh,"Arid, desert, hot",50350,Medium (50k-500k)
